DateTime,Appliances,lights,T1,RH_1,T2,RH_2
2026-01-16 19:12:57,50,0,17.7,36.1633333333333,16.7,36.56
2026-01-16 19:12:59,80,0,17.7,36.2,16.6,36.5
2026-01-16 19:13:02,80,0,17.7,36.26,16.6,36.5
2026-01-16 19:13:05,80,0,17.6,36.23,16.6,36.5
2026-01-16 19:13:07,70,0,17.6,36.29,16.6,36.53
2026-01-16 19:13:10,90,0,17.6,36.29,16.6,36.59
2026-01-16 19:13:12,80,0,17.6,36.29,16.5666666666667,36.59
2026-01-16 19:13:15,80,0,17.6,36.29,16.55,36.6175
2026-01-16 19:13:18,80,0,17.6,36.363333333333294,16.5,36.7
2026-01-16 19:13:20,70,0,17.5,36.433333333333294,16.5,36.7
